Provincia,Mes,Anio,Temperatura,Precipitacion,Humedad,Vel_vientos,cantidad_casos
BUENOS AIRES,1,2018,23.81890322580646,78.8259999999997,59.14645161290323,14.287096774193548,0
BUENOS AIRES,1,2019,22.901084010840073,131.55339933993258,69.9559620596206,14.79009900990099,0
BUENOS AIRES,1,2020,22.715584415584406,79.47140077821061,62.08441558441559,15.17780661907852,103
BUENOS AIRES,2,2018,23.143357142857163,49.37200000000017,62.20214285714286,13.391428571428571,9
BUENOS AIRES,2,2019,21.580357142857146,60.70000000000081,66.13714285714286,12.844285714285714,7
BUENOS AIRES,2,2020,21.921122807017525,87.72463157894722,66.45926966292134,14.7436797752809,426
BUENOS AIRES,3,2018,19.504000000000005,69.0819999999995,64.18516129032258,13.586451612903225,70
BUENOS AIRES,3,2019,18.507165913492578,99.1887023886372,74.4744996772111,13.20593931568754,30
BUENOS AIRES,3,2020,21.853557312252963,155.04163372858878,73.15546772068511,13.345191040843215,2377
BUENOS AIRES,4,2018,18.62134756504336,141.7358238825878,78.76917945296864,12.490993995997332,59
BUENOS AIRES,4,2019,16.302599999999988,44.530000000000584,73.96933333333334,11.3,12
BUENOS AIRES,4,2020,15.744111640571852,107.76671204901211,76.16337644656228,13.279101429543907,1319
BUENOS AIRES,5,2018,13.4490322580645,117.73199999999893,83.01225806451613,11.156774193548387,15
BUENOS AIRES,5,2019,12.481999999999985,54.3819999999999,79.0516129032258,12.05483870967742,3
BUENOS AIRES,5,2020,12.536699669967005,17.883717864205295,76.06406869220608,14.17887788778878,338
BUENOS AIRES,6,2018,8.23173333333333,13.325999999999995,75.71266666666666,12.865333333333334,0
BUENOS AIRES,6,2019,11.143666666666652,102.5859999999986,81.22533333333334,13.998,0
BUENOS AIRES,6,2020,9.753101567825487,63.96939331969958,80.03410641200546,12.358554873892297,11
BUENOS AIRES,7,2018,8.098322580645162,67.10399999999922,82.15483870967742,13.823870967741936,0
BUENOS AIRES,7,2019,8.322753716871366,34.790820943761666,76.18175937904269,11.975436328377505,0
BUENOS AIRES,8,2018,9.790645161290325,38.50199999999928,74.40064516129033,15.110967741935484,0
BUENOS AIRES,8,2019,9.66731141199226,13.834558349452214,68.37201805286912,13.231463571889103,0
BUENOS AIRES,9,2018,14.295133333333341,107.376000000002,75.00133333333333,14.029333333333334,0
BUENOS AIRES,9,2019,12.372933333333345,29.706000000000103,63.532,15.346666666666666,0
BUENOS AIRES,10,2018,15.258869908015754,44.20407358738448,69.67805519053877,14.205650459921156,0
BUENOS AIRES,10,2019,15.241741935483855,112.10199999999938,67.30580645161291,15.910322580645161,0
BUENOS AIRES,11,2018,18.957123381049765,139.897750511246,68.38241308793457,15.96455351056578,0
BUENOS AIRES,11,2019,20.20473333333332,55.15200000000083,62.044666666666664,15.905333333333333,0
BUENOS AIRES,12,2018,21.13490066225167,142.38524156187995,63.02317880794702,15.547981469225679,0
BUENOS AIRES,12,2019,21.68464516129033,88.65799999999909,58.16516129032258,15.627096774193548,0
CABA,1,2018,25.350806451612907,35.300000000000075,61.604838709677416,12.5,0
CABA,1,2019,24.774193548387085,145.7499999999999,70.60887096774194,11.963709677419354,2
CABA,1,2020,24.758467741935483,66.15000000000006,61.41935483870968,12.153225806451612,162
CABA,2,2018,24.606250000000028,42.15000000000005,63.611607142857146,12.486607142857142,10
CABA,2,2019,24.15669642857141,53.19999999999998,63.482142857142854,10.227678571428571,3
CABA,2,2020,24.108620689655172,59.59999999999994,64.15086206896552,11.556034482758621,911
CABA,3,2018,22.034274193548384,81.00000000000018,63.41532258064516,10.028225806451612,38
CABA,3,2019,20.99032258064514,99.35000000000036,70.3508064516129,10.830645161290322,6
CABA,3,2020,23.719758064516178,162.3000000000001,73.23790322580645,11.568548387096774,4681
CABA,4,2018,21.469999999999985,248.20000000000073,79.82083333333334,10.870833333333334,56
CABA,4,2019,19.290833333333328,42.65000000000012,71.78333333333333,10.079166666666667,12
CABA,4,2020,17.952499999999997,87.8999999999998,74.38333333333334,10.45,2816
CABA,5,2018,16.365322580645163,200.95000000000078,80.22177419354838,9.221774193548388,6
CABA,5,2019,15.87217741935483,81.39999999999964,75.84274193548387,10.701612903225806,2
CABA,5,2020,15.230241935483871,15.25000000000002,71.87096774193549,10.141129032258064,594
CABA,6,2018,10.795833333333333,9.800000000000008,73.85833333333333,8.85,1
CABA,6,2019,14.474583333333344,191.74999999999937,79.5875,9.908333333333333,1
CABA,6,2020,12.650416666666672,76.8000000000001,78.8125,9.691666666666666,8
CABA,7,2018,10.673790322580643,119.79999999999951,80.8225806451613,11.487903225806452,0
CABA,7,2019,11.476209677419355,91.75,74.29838709677419,8.887096774193548,0
CABA,8,2018,12.20967741935483,49.90000000000006,73.3991935483871,10.991935483870968,0
CABA,8,2019,12.460080645161296,52.0,66.8225806451613,10.318548387096774,0
CABA,9,2018,17.12291666666666,119.85000000000011,74.10416666666667,13.175,0
CABA,9,2019,14.999583333333343,58.949999999999925,60.2125,11.4375,0
CABA,10,2018,17.807258064516112,28.25,65.03629032258064,11.733870967741936,0
CABA,10,2019,17.62943548387097,175.70000000000013,67.37903225806451,13.298387096774194,0
CABA,11,2018,21.29958333333332,186.95000000000073,65.66666666666667,13.675,0
CABA,11,2019,22.558333333333337,98.14999999999964,64.1625,12.804166666666667,0
CABA,12,2018,22.368951612903214,299.19999999999857,66.30645161290323,12.266129032258064,0
CABA,12,2019,23.556854838709672,136.85000000000016,57.45564516129032,11.358870967741936,0
CATAMARCA,1,2018,26.739170506912416,103.85714285714286,55.93087557603687,15.31336405529954,0
CATAMARCA,1,2019,27.027188940092124,125.61428571428593,58.345622119815665,15.483870967741936,0
CATAMARCA,1,2020,28.752995391705046,88.48571428571441,51.67741935483871,15.861751152073733,0
CATAMARCA,2,2018,26.380102040816308,48.514285714285656,55.95918367346939,15.474489795918368,0
CATAMARCA,2,2019,26.217346938775474,67.62857142857155,57.255102040816325,14.76530612244898,0
CATAMARCA,2,2020,26.34679802955663,33.142857142857146,58.22660098522167,15.502463054187192,17
CATAMARCA,3,2018,24.701382488479243,6.528571428571423,44.1889400921659,14.276497695852534,0
CATAMARCA,3,2019,22.261290322580614,69.59999999999987,63.663594470046085,13.096774193548388,0
CATAMARCA,3,2020,27.210599078340984,50.2571428571428,54.15668202764977,15.912442396313365,213
CATAMARCA,4,2018,23.0238095238095,2.257142857142867,58.39523809523809,10.685714285714285,0
CATAMARCA,4,2019,20.4742857142857,72.42857142857143,67.18571428571428,11.195238095238095,0
CATAMARCA,4,2020,21.598095238095215,12.514285714285743,57.95238095238095,13.566666666666666,84
CATAMARCA,5,2018,16.582027649769554,17.342857142857106,68.35483870967742,10.11520737327189,0
CATAMARCA,5,2019,15.384331797235017,4.571428571428571,67.05069124423963,11.046082949308756,0
CATAMARCA,5,2020,15.762672811059891,0.5714285714285714,54.064516129032256,9.267281105990783,23
CATAMARCA,6,2018,10.174761904761915,0.6428571428571429,55.65714285714286,10.557142857142857,0
CATAMARCA,6,2019,11.860476190476192,0.6000000000000022,61.36190476190476,10.542857142857143,0
CATAMARCA,6,2020,12.456190476190475,1.3428571428571352,53.15714285714286,12.655502392344498,0
CATAMARCA,7,2018,9.5152073732719,3.628571428571431,57.935483870967744,10.576036866359447,0
CATAMARCA,7,2019,12.300460829493083,1.3142857142857174,56.59447004608295,11.142857142857142,0
CATAMARCA,8,2018,14.857142857142838,0.0,40.336405529953915,13.23041474654378,0
CATAMARCA,8,2019,15.284792626728098,0.0,40.285714285714285,13.981566820276498,0
CATAMARCA,9,2018,22.11952380952378,4.571428571428571,42.65714285714286,13.752380952380953,0
CATAMARCA,9,2019,18.902870813397104,7.464114832535885,38.80861244019139,15.583732057416269,0
CATAMARCA,10,2018,23.06774193548385,20.0,50.096774193548384,15.331797235023041,0
CATAMARCA,10,2019,22.905069124423946,11.785714285714286,44.46082949308756,14.40552995391705,0
CATAMARCA,11,2018,26.19047619047616,61.142857142857146,49.17142857142857,18.476190476190474,0
CATAMARCA,11,2019,27.920952380952343,16.614285714285675,47.05238095238095,19.738095238095237,0
CATAMARCA,12,2018,26.744700460829446,71.82857142857158,51.02764976958525,16.53917050691244,0
CATAMARCA,12,2019,28.0129032258064,46.89999999999993,43.566820276497694,18.410138248847925,0
CHACO,1,2018,26.453225806451623,365.0,73.4274193548387,11.758064516129032,1
CHACO,1,2019,27.141129032258068,554.8000000000013,81.36290322580645,11.330645161290322,0
CHACO,1,2020,26.787903225806463,205.09999999999962,74.85483870967742,9.661290322580646,19
CHACO,2,2018,26.570535714285715,11.5,69.375,10.241071428571429,0
CHACO,2,2019,25.682142857142853,180.0,75.02678571428571,9.758928571428571,0
CHACO,2,2020,25.743478260869573,200.0,73.05217391304348,9.269565217391305,192
CHACO,3,2018,24.295967741935474,188.59999999999974,74.65322580645162,10.403225806451612,40
CHACO,3,2019,23.271774193548392,167.2999999999996,78.11290322580645,9.75,5
CHACO,3,2020,26.49838709677421,43.10000000000004,67.00806451612904,8.459677419354838,1016
CHACO,4,2018,24.778333333333347,39.30000000000008,77.10833333333333,10.916666666666666,229
CHACO,4,2019,21.4825,222.09999999999957,85.06666666666666,7.366666666666666,10
CHACO,4,2020,20.56916666666666,79.0,69.375,9.266666666666667,1011
CHACO,5,2018,19.505645161290325,237.5,83.11290322580645,10.661290322580646,310
CHACO,5,2019,19.180645161290325,286.2999999999997,90.04838709677419,10.088709677419354,32
CHACO,5,2020,17.22822580645161,48.30000000000011,72.2741935483871,11.137096774193548,1070
CHACO,6,2018,13.709166666666667,34.199999999999925,80.99166666666666,10.291666666666666,1
CHACO,6,2019,18.224999999999987,7.0,81.85833333333333,11.791666666666666,0
CHACO,6,2020,17.649999999999988,37.09999999999997,73.63333333333334,11.983333333333333,62
CHACO,7,2018,13.349999999999993,15.0,83.18548387096774,10.959677419354838,0
CHACO,7,2019,14.57903225806452,52.0,78.29838709677419,10.71774193548387,0
CHACO,8,2018,14.071774193548382,17.09999999999996,72.09677419354838,12.10483870967742,0
CHACO,8,2019,16.332258064516132,92.0,71.04032258064517,12.443548387096774,0
CHACO,9,2018,21.521666666666672,71.5,72.86666666666666,12.208333333333334,0
CHACO,9,2019,19.339999999999996,6.600000000000014,63.725,12.05,0
CHACO,10,2018,22.323387096774194,127.0,72.54838709677419,11.387096774193548,0
CHACO,10,2019,22.303225806451618,137.20000000000033,73.48387096774194,13.28225806451613,0
CHACO,11,2018,24.481666666666666,215.09999999999962,76.575,11.6,0
CHACO,11,2019,25.62249999999999,201.0,73.9,10.275,0
CHACO,12,2018,26.14516129032259,233.0,73.21774193548387,11.016129032258064,0
CHACO,12,2019,25.41693548387097,125.0,68.91129032258064,10.693548387096774,0
CHUBUT,1,2018,19.929569892473115,3.1000000000000005,41.475806451612904,22.620967741935484,0
CHUBUT,1,2019,18.20268817204302,3.599999999999988,38.49731182795699,21.74462365591398,0
CHUBUT,1,2020,19.381671159029672,12.787061994609175,43.28108108108108,22.099730458221025,0
CHUBUT,2,2018,20.261309523809526,7.19999999999997,45.37797619047619,18.133928571428573,0
CHUBUT,2,2019,18.472916666666677,6.766666666666647,42.99404761904762,18.217261904761905,0
CHUBUT,2,2020,17.60922190201729,19.602017291066264,50.88472622478386,18.239193083573486,0
CHUBUT,3,2018,15.122849462365581,12.999999999999922,50.00268817204301,18.857526881720432,0
CHUBUT,3,2019,15.698924731182789,37.39999999999997,55.626344086021504,15.634408602150538,0
CHUBUT,3,2020,17.48494623655915,6.300000000000001,54.48924731182796,15.231182795698924,0
CHUBUT,4,2018,12.431944444444447,24.4333333333333,53.52777777777778,17.094444444444445,0
CHUBUT,4,2019,12.918055555555544,12.433333333333334,56.33888888888889,16.805555555555557,0
CHUBUT,4,2020,12.68527777777778,20.833333333333467,61.12777777777778,13.355555555555556,0
CHUBUT,5,2018,8.563978494623651,24.100000000000062,67.27688172043011,12.438172043010752,0
CHUBUT,5,2019,8.44489247311828,23.566666666666627,65.18548387096774,13.919354838709678,0
CHUBUT,5,2020,9.37795698924731,48.133333333333425,64.81451612903226,15.513440860215054,0
CHUBUT,6,2018,4.651111111111112,26.466666666666637,65.77437325905292,16.441666666666666,0
CHUBUT,6,2019,6.556111111111111,68.99999999999991,69.23055555555555,16.008333333333333,0
CHUBUT,6,2020,5.854722222222221,42.866666666666646,67.43611111111112,15.647222222222222,0
CHUBUT,7,2018,3.565591397849459,30.899999999999938,72.69021739130434,12.209677419354838,0
CHUBUT,7,2019,5.725537634408602,37.833333333333286,69.33333333333333,13.973118279569892,0
CHUBUT,8,2018,7.844623655913984,12.433333333333321,55.29838709677419,15.852150537634408,0
CHUBUT,8,2019,6.398924731182791,26.06666666666661,62.37903225806452,16.510752688172044,0
CHUBUT,9,2018,9.15000000000001,28.400000000000112,57.980555555555554,17.16111111111111,0
CHUBUT,9,2019,8.453888888888892,8.500000000000046,56.352777777777774,18.1,0
